bea_code,windc_label,windc_aggr_label,category,description,description_code
423800,mch_wht,wht,goods,"Machinery, equipment, and supplies","Machinery, equipment, and supplies (423800)"
423A00,odg_wht,wht,goods,Other durable goods merchant wholesalers,Other durable goods merchant wholesalers (423A00)
424200,dru_wht,wht,goods,Drugs and druggists’ sundries,Drugs and druggists’ sundries (424200)
424400,gro_wht,wht,goods,Grocery and related product wholesalers,Grocery and related product wholesalers (424400)
424700,pet_wht,wht,goods,Petroleum and petroleum products,Petroleum and petroleum products (424700)
424A00,ndg_wht,wht,goods,Other nondurable goods merchant wholesalers,Other nondurable goods merchant wholesalers (424A00)
425000,ele_wht,wht,goods,Wholesale electronic markets and agents and brokers,Wholesale electronic markets and agents and brokers (425000)
4200ID,dut_wht,wht,goods,Customs duties,Customs duties (4200ID)
441000,mvt_mvt,mvt,goods,Motor vehicle and parts dealers,Motor vehicle and parts dealers (441000)
445000,fbt_fbt,fbt,goods,Food and beverage stores,Food and beverage stores (445000)
452000,gmt_gmt,gmt,goods,General merchandise stores,General merchandise stores (452000)
444000,bui_ott,ott,goods,Building material and garden equipment and supplies dealers,Building material and garden equipment and supplies dealers (444000)
446000,hea_ott,ott,goods,Health and personal care stores,Health and personal care stores (446000)
447000,gas_ott,ott,goods,Gasoline stations,Gasoline stations (447000)
448000,clo_ott,ott,goods,Clothing and clothing accessories stores,Clothing and clothing accessories stores (448000)
454000,non_ott,ott,goods,Nonstore retailers,Nonstore retailers (454000)
4B0000,oth_ott,ott,goods,All other retail,All other retail (4B0000)
481000,air_air,air,goods,Air transportation,Air transportation (481000)
482000,trn_trn,trn,goods,Rail transportation,Rail transportation (482000)
483000,wtt_wtt,wtt,goods,Water transportation,Water transportation (483000)
484000,trk_trk,trk,goods,Truck transportation,Truck transportation (484000)
485000,grd_grd,grd,goods,Transit and ground passenger transportation,Transit and ground passenger transportation (485000)
486000,pip_pip,pip,goods,Pipeline transportation,Pipeline transportation (486000)
48A000,sce_otr,otr,goods,Scenic and sightseeing transportation and support activities for transportation,Scenic and sightseeing transportation and support activities for transportation (48A000)
492000,mes_otr,otr,goods,Couriers and messengers,Couriers and messengers (492000)
493000,wrh_wrh,wrh,goods,Warehousing and storage,Warehousing and storage (493000)
511110,new_pub,pub,goods,Newspaper publishers,Newspaper publishers (511110)
511120,pdl_pub,pub,goods,Periodical Publishers,Periodical Publishers (511120)
511130,bok_pub,pub,goods,Book publishers,Book publishers (511130)
5111A0,mal_pub,pub,goods,"Directory, mailing list, and other publishers","Directory, mailing list, and other publishers (5111A0)"
511200,sfw_pub,pub,goods,Software publishers,Software publishers (511200)
512100,pic_mov,mov,goods,Motion picture and video industries,Motion picture and video industries (512100)
512200,snd_mov,mov,goods,Sound recording industries,Sound recording industries (512200)
515100,rad_brd,brd,goods,Radio and television broadcasting,Radio and television broadcasting (515100)
515200,cbl_brd,brd,goods,Cable and other subscription programming,Cable and other subscription programming (515200)
517110,wtl_brd,brd,goods,Wired telecommunications carriers,Wired telecommunications carriers (517110)
517210,wls_brd,brd,goods,Wireless telecommunications carriers (except satellite),Wireless telecommunications carriers (except satellite) (517210)
517A00,sat_brd,brd,goods,"Satellite, telecommunications resellers, and all other telecommunications","Satellite, telecommunications resellers, and all other telecommunications (517A00)"
518200,dpr_dat,dat,goods,"Data processing, hosting, and related services","Data processing, hosting, and related services (518200)"
519130,int_dat,dat,goods,Internet publishing and broadcasting and Web search portals,Internet publishing and broadcasting and Web search portals (519130)
5191A0,new_dat,dat,goods,"News syndicates, libraries, archives and all other information services","News syndicates, libraries, archives and all other information services (5191A0)"
522A00,cre_bnk,bnk,goods,Nondepository credit intermediation and related activities,Nondepository credit intermediation and related activities (522A00)
52A000,mon_bnk,bnk,goods,Monetary authorities and depository credit intermediation,Monetary authorities and depository credit intermediation (52A000)
523900,ofi_sec,sec,goods,Other financial investment activities,Other financial investment activities (523900)
523A00,com_sec,sec,goods,Securities and commodity contracts intermediation and brokerage,Securities and commodity contracts intermediation and brokerage (523A00)
524113,dir_ins,ins,goods,Direct life insurance carriers,Direct life insurance carriers (524113)
5241XX,car_ins,ins,goods,"Insurance carriers, except direct life","Insurance carriers, except direct life (5241XX)"
524200,agn_ins,ins,goods,"Insurance agencies, brokerages, and related activities","Insurance agencies, brokerages, and related activities (524200)"
525000,fin_fin,fin,goods,"Funds, trusts, and other financial vehicles","Funds, trusts, and other financial vehicles (525000)"
531HSO,own_hou,hou,goods,Owner-occupied housing,Owner-occupied housing (531HSO)
531ORE,ore_ore,ore,goods,Other real estate,Other real estate (531ORE)
532100,aut_rnt,rnt,goods,Automotive equipment rental and leasing,Automotive equipment rental and leasing (532100)
532400,com_rnt,rnt,goods,Commercial and industrial machinery and equipment rental and leasing,Commercial and industrial machinery and equipment rental and leasing (532400)
532A00,cmg_rnt,rnt,goods,General and consumer goods rental,General and consumer goods rental (532A00)
533000,int_rnt,rnt,goods,Lessors of nonfinancial intangible assets,Lessors of nonfinancial intangible assets (533000)
541100,leg_leg,leg,goods,Legal services,Legal services (541100)
541511,cus_com,com,goods,Custom computer programming services,Custom computer programming services (541511)
541512,sys_com,com,goods,Computer systems design services,Computer systems design services (541512)
54151A,ocs_com,com,goods,"Other computer related services, including facilities management","Other computer related services, including facilities management (54151A)"
541200,acc_tsv,tsv,goods,"Accounting, tax preparation, bookkeeping, and payroll services","Accounting, tax preparation, bookkeeping, and payroll services (541200)"
541300,arc_tsv,tsv,goods,"Architectural, engineering, and related services","Architectural, engineering, and related services (541300)"
541610,mgt_tsv,tsv,goods,Management consulting services,Management consulting services (541610)
5416A0,env_tsv,tsv,goods,Environmental and other technical consulting services,Environmental and other technical consulting services (5416A0)
541700,sci_tsv,tsv,goods,Scientific research and development services,Scientific research and development services (541700)
541800,adv_tsv,tsv,goods,"Advertising, public relations, and related services","Advertising, public relations, and related services (541800)"
541400,des_tsv,tsv,goods,Specialized design services,Specialized design services (541400)
541920,pht_tsv,tsv,goods,Photographic services,Photographic services (541920)
541940,vet_tsv,tsv,goods,Veterinary services,Veterinary services (541940)
5419A0,mkt_tsv,tsv,goods,"All other miscellaneous professional, scientific, and technical services","All other miscellaneous professional, scientific, and technical services (5419A0)"
550000,man_man,man,goods,Management of companies and enterprises,Management of companies and enterprises (550000)
561300,emp_adm,adm,goods,Employment services,Employment services (561300)
561700,dwe_adm,adm,goods,Services to buildings and dwellings,Services to buildings and dwellings (561700)
561100,off_adm,adm,goods,Office administrative services,Office administrative services (561100)
561200,fac_adm,adm,goods,Facilities support services,Facilities support services (561200)
561400,bsp_adm,adm,goods,Business support services,Business support services (561400)
561500,trv_adm,adm,goods,Travel arrangement and reservation services,Travel arrangement and reservation services (561500)
561600,inv_adm,adm,goods,Investigation and security services,Investigation and security services (561600)
561900,oss_adm,adm,goods,Other support services,Other support services (561900)
562000,wst_wst,wst,goods,Waste management and remediation services,Waste management and remediation services (562000)
611100,sec_edu,edu,goods,Elementary and secondary schools,Elementary and secondary schools (611100)
611A00,uni_edu,edu,goods,"Junior colleges, colleges, universities, and professional schools","Junior colleges, colleges, universities, and professional schools (611A00)"
611B00,oes_edu,edu,goods,Other educational services,Other educational services (611B00)
621100,phy_amb,amb,goods,Offices of physicians,Offices of physicians (621100)
621200,dnt_amb,amb,goods,Offices of dentists,Offices of dentists (621200)
621300,ohp_amb,amb,goods,Offices of other health practitioners,Offices of other health practitioners (621300)
621400,out_amb,amb,goods,Outpatient care centers,Outpatient care centers (621400)
621500,lab_amb,amb,goods,Medical and diagnostic laboratories,Medical and diagnostic laboratories (621500)
621600,hom_amb,amb,goods,Home health care services,Home health care services (621600)
621900,oas_amb,amb,goods,Other ambulatory health care services,Other ambulatory health care services (621900)
622000,hos_hos,hos,goods,Hospitals,Hospitals (622000)
623A00,ncc_nrs,nrs,goods,Nursing and community care facilities,Nursing and community care facilities (623A00)
623B00,res_nrs,nrs,goods,"Residential mental health, substance abuse, and other residential care facilities","Residential mental health, substance abuse, and other residential care facilities (623B00)"
624100,ifs_soc,soc,goods,Individual and family services,Individual and family services (624100)
624400,day_soc,soc,goods,Child day care services,Child day care services (624400)
624A00,cmf_soc,soc,goods,"Community food, housing, and other relief services, including rehabilitation services","Community food, housing, and other relief services, including rehabilitation services (624A00)"
711100,pfm_art,art,goods,Performing arts companies,Performing arts companies (711100)
711200,spr_art,art,goods,Spectator sports,Spectator sports (711200)
711500,ind_art,art,goods,"Independent artists, writers, and performers","Independent artists, writers, and performers (711500)"
711A00,agt_art,art,goods,Promoters of performing arts and sports and agents for public figures,Promoters of performing arts and sports and agents for public figures (711A00)
712000,mus_art,art,goods,"Museums, historical sites, zoos, and parks","Museums, historical sites, zoos, and parks (712000)"
713100,amu_rec,rec,goods,Amusement parks and arcades,Amusement parks and arcades (713100)
713200,cas_rec,rec,goods,Gambling industries (except casino hotels),Gambling industries (except casino hotels) (713200)
713900,ori_rec,rec,goods,Other amusement and recreation industries,Other amusement and recreation industries (713900)
721000,amd_amd,amd,goods,Accommodation,Accommodation (721000)
722110,ful_res,res,goods,Full-service restaurants,Full-service restaurants (722110)
722211,lim_res,res,goods,Limited-service restaurants,Limited-service restaurants (722211)
722A00,ofd_res,res,goods,All other food and drinking places,All other food and drinking places (722A00)
811100,atr_osv,osv,goods,Automotive repair and maintenance,Automotive repair and maintenance (811100)
811200,eqr_osv,osv,goods,Electronic and precision equipment repair and maintenance,Electronic and precision equipment repair and maintenance (811200)
811300,imr_osv,osv,goods,Commercial and industrial machinery and equipment repair and maintenance,Commercial and industrial machinery and equipment repair and maintenance (811300)
811400,hgr_osv,osv,goods,Personal and household goods repair and maintenance,Personal and household goods repair and maintenance (811400)
812100,pcs_osv,osv,goods,Personal care services,Personal care services (812100)
812200,fun_osv,osv,goods,Death care services,Death care services (812200)
812300,dry_osv,osv,goods,Dry-cleaning and laundry services,Dry-cleaning and laundry services (812300)
812900,ops_osv,osv,goods,Other personal services,Other personal services (812900)
813100,rel_osv,osv,goods,Religious organizations,Religious organizations (813100)
813A00,grt_osv,osv,goods,"Grantmaking, giving, and social advocacy organizations","Grantmaking, giving, and social advocacy organizations (813A00)"
813B00,civ_osv,osv,goods,"Civic, social, professional, and similar organizations","Civic, social, professional, and similar organizations (813B00)"
814000,prv_osv,osv,goods,Private households,Private households (814000)
S00500,fdd_fdd,fdd,goods,Federal general government (defense),Federal general government (defense) (S00500)
S00600,fnd_fnd,fnd,goods,Federal general government (nondefense),Federal general government (nondefense) (S00600)
491000,pst_fen,fen,goods,Postal service,Postal service (491000)
S00102,ofg_fen,fen,goods,Other federal government enterprises,Other federal government enterprises (S00102)
GSLGE,edu_slg,slg,goods,State and local government educational services,State and local government educational services (GSLGE)
GSLGH,hea_slg,slg,goods,State and local government hospitals and health services,State and local government hospitals and health services (GSLGH)
GSLGO,oth_slg,slg,goods,State and local government other services,State and local government other services (GSLGO)
S00203,ent_sle,sle,goods,Other state and local government enterprises,Other state and local government enterprises (S00203)
S00401,srp_use,use,goods,Scrap,Scrap (S00401)
S00402,sec_use,use,goods,Used and secondhand goods,Used and secondhand goods (S00402)
S00300,imp_oth,oth,goods,Noncomparable imports,Noncomparable imports (S00300)
S00900,rwa_oth,oth,goods,Rest of the world adjustment,Rest of the world adjustment (S00900)
T017,TotalBasic,TotalBasic,,Total industry supply,Total industry supply (T017)
331314,sme_pmt,pmt,goods,Secondary smelting and alloying of aluminum,Secondary smelting and alloying of aluminum (331314)
MDTY,Duties,Duties,,Import duties,Import duties (MDTY)
TOP,Tax,Tax,,Tax on products,Tax on products (TOP)
SUB,Subsidies,Subsidies,,Subsidies,Subsidies (SUB)
S00101,ele_fen,fen,goods,Federal electric utilities,Federal electric utilities (S00101)
S00201,trn_sle,sle,goods,State and local government passenger transit,State and local government passenger transit (S00201)
S00202,ele_sle,sle,goods,State and local government electric utilities,State and local government electric utilities (S00202)
T007,Output,Output,,Total Commodity Output,Total Commodity Output (T007)
MCIF,imports,imports,,Imports,Imports (MCIF)
TRADE,Margins,Margins,,Trade margins,Trade margins (TRADE)
MADJ,ciffob,ciffob,,CIF/FOB Adjustments on Imports,CIF/FOB Adjustments on Imports (MADJ)
TRANS,TrnCost,TrnCost,,Transportation costs,Transportation costs (TRANS)
T013,BasicSupply,BasicSupply,,Total product supply (basic prices),Total product supply (basic prices) (T013)
T014,TrdTrn,TrdTrn,,Total trade and transportation margins,Total trade and transportation margins (T014)
T015,TaxLesSubsidies,TaxLesSubsidies,,Total tax less subsidies on products,Total tax less subsidies on products (T015)
T016,Supply,Supply,,Total product supply (purchaser prices),Total product supply (purchaser prices) (T016)
T005,interm,interm,,Total intermediate inputs,Total intermediate inputs (T005)
V00100,compen,compen,valueadded,Compensation of employees,Compensation of employees (V00100)
T00OTOP,othtax,othtax,valueadded,Other taxes on production,Other taxes on production (T00OTOP)
V00300,surplus,surplus,valueadded,Gross operating surplus,Gross operating surplus (V00300)
VABAS,basicvalueadded,basicvalueadded,,Value added (basic value),Value added (basic value) (VABAS)
T018,industryoutput,industryoutput,,Total industry output (basic value),Total industry output (basic value) (T018)
T00TOP,taxes,taxes,,Plus: Taxes on products and imports,Plus: Taxes on products and imports (T00TOP)
T00SUB,subsidies,subsidies,,Less: Subsidies,Less: Subsidies (T00SUB)
VAPRO,valueadded,valueadded,,Value added (producer value),Value added (producer value) (VAPRO)
T001,totint,totint,,Total Intermediate,Total Intermediate (T001)
F01000,pce,pce,finaldemand,Personal consumption expenditures,Personal consumption expenditures (F01000)
F02E00,equipment,equipment,finaldemand,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in equipment (F02E00)
F02N00,intelprop,intelprop,finaldemand,Nonresidential private fixed investment in intellectual property products,Nonresidential private fixed investment in intellectual property products (F02N00)
F02R00,residential,residential,finaldemand,Residential private fixed investment,Residential private fixed investment (F02R00)
F02S00,structures,structures,finaldemand,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in structures (F02S00)
F03000,changinv,changinv,finaldemand,Change in private inventories,Change in private inventories (F03000)
F04000,exports,exports,,Exports of goods and services,Exports of goods and services (F04000)
F06C00,defense,defense,finaldemand,Federal Government defense: Consumption expenditures,Federal Government defense: Consumption expenditures (F06C00)
F06E00,def_equipment,def_equipment,finaldemand,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in equipment (F06E00)
F07C00,nondefense,nondefense,finaldemand,Federal Government nondefense: Consumption expenditures,Federal Government nondefense: Consumption expenditures (F07C00)
F06N00,def_intelprop,def_intelprop,finaldemand,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in intellectual property products (F06N00)
F06S00,def_structures,def_structures,finaldemand,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in structures (F06S00)
F07E00,fed_equipment,fed_equipment,finaldemand,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in equipment (F07E00)
F07S00,fed_structures,fed_structures,finaldemand,Federal nondefense: Gross investment in structures,Federal nondefense: Gross investment in structures (F07S00)
F07N00,fed_intelprop,fed_intelprop,finaldemand,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in intellectual property products (F07N00)
F10C00,state_consume,state_consume,finaldemand,State and local government consumption expenditures,State and local government consumption expenditures (F10C00)
F10E00,state_equipment,state_equipment,finaldemand,State and local: Gross investment in equipment,State and local: Gross investment in equipment (F10E00)
F10N00,state_intelprop,state_intelprop,finaldemand,State and local: Gross investment in intellectual property products,State and local: Gross investment in intellectual property products (F10N00)
F10S00,state_invest,state_invest,finaldemand,State and local: Gross investment in structures,State and local: Gross investment in structures (F10S00)
T019,totaluse,totaluse,,Total use of products,Total use of products (T019)
