bea_code,windc_label,windc_aggr_label,category,description,description_code
332310,plt_fmt,fmt,goods,Plate work and fabricated structural product manufacturing,Plate work and fabricated structural product manufacturing (332310)
332320,orn_fmt,fmt,goods,Ornamental and architectural metal products manufacturing,Ornamental and architectural metal products manufacturing (332320)
332410,pwr_fmt,fmt,goods,Power boiler and heat exchanger manufacturing,Power boiler and heat exchanger manufacturing (332410)
332420,mtt_fmt,fmt,goods,Metal tank (heavy gauge) manufacturing,Metal tank (heavy gauge) manufacturing (332420)
332430,mtc_fmt,fmt,goods,"Metal can, box, and other metal container (light gauge) manufacturing","Metal can, box, and other metal container (light gauge) manufacturing (332430)"
332500,hdw_fmt,fmt,goods,Hardware manufacturing,Hardware manufacturing (332500)
332600,spr_fmt,fmt,goods,Spring and wire product manufacturing,Spring and wire product manufacturing (332600)
332710,mch_fmt,fmt,goods,Machine shops,Machine shops (332710)
332720,tps_fmt,fmt,goods,"Turned product and screw, nut, and bolt manufacturing","Turned product and screw, nut, and bolt manufacturing (332720)"
332800,ceh_fmt,fmt,goods,"Coating, engraving, heat treating and allied activities","Coating, engraving, heat treating and allied activities (332800)"
332913,plb_fmt,fmt,goods,Plumbing fixture fitting and trim manufacturing,Plumbing fixture fitting and trim manufacturing (332913)
33291A,vlv_fmt,fmt,goods,Valve and fittings other than plumbing,Valve and fittings other than plumbing (33291A)
332991,bbr_fmt,fmt,goods,Ball and roller bearing manufacturing,Ball and roller bearing manufacturing (332991)
332996,fab_fmt,fmt,goods,Fabricated pipe and pipe fitting manufacturing,Fabricated pipe and pipe fitting manufacturing (332996)
33299A,amn_fmt,fmt,goods,"Ammunition, arms, ordnance, and accessories manufacturing","Ammunition, arms, ordnance, and accessories manufacturing (33299A)"
332999,omf_fmt,fmt,goods,Other fabricated metal manufacturing,Other fabricated metal manufacturing (332999)
333111,frm_mch,mch,goods,Farm machinery and equipment manufacturing,Farm machinery and equipment manufacturing (333111)
333112,lwn_mch,mch,goods,Lawn and garden equipment manufacturing,Lawn and garden equipment manufacturing (333112)
333120,con_mch,mch,goods,Construction machinery manufacturing,Construction machinery manufacturing (333120)
333130,min_mch,mch,goods,Mining and oil and gas field machinery manufacturing,Mining and oil and gas field machinery manufacturing (333130)
333242,smc_mch,mch,goods,Semiconductor machinery manufacturing,Semiconductor machinery manufacturing (333242)
33329A,oti_mch,mch,goods,Other industrial machinery manufacturing,Other industrial machinery manufacturing (33329A)
333314,opt_mch,mch,goods,Optical instrument and lens manufacturing,Optical instrument and lens manufacturing (333314)
333316,pht_mch,mch,goods,Photographic and photocopying equipment manufacturing,Photographic and photocopying equipment manufacturing (333316)
333318,oci_mch,mch,goods,Other commercial and service industry machinery manufacturing,Other commercial and service industry machinery manufacturing (333318)
333414,hea_mch,mch,goods,Heating equipment (except warm air furnaces) manufacturing,Heating equipment (except warm air furnaces) manufacturing (333414)
333415,acn_mch,mch,goods,"Air conditioning, refrigeration, and warm air heating equipment manufacturing","Air conditioning, refrigeration, and warm air heating equipment manufacturing (333415)"
333413,air_mch,mch,goods,Industrial and commercial fan and blower and air purification equipment manufacturing,Industrial and commercial fan and blower and air purification equipment manufacturing (333413)
333511,imm_mch,mch,goods,Industrial mold manufacturing,Industrial mold manufacturing (333511)
333514,spt_mch,mch,goods,"Special tool, die, jig, and fixture manufacturing","Special tool, die, jig, and fixture manufacturing (333514)"
333517,mct_mch,mch,goods,Machine tool manufacturing,Machine tool manufacturing (333517)
33351B,cut_mch,mch,goods,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing","Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing (33351B)"
333611,tbn_mch,mch,goods,Turbine and turbine generator set units manufacturing,Turbine and turbine generator set units manufacturing (333611)
333612,spd_mch,mch,goods,"Speed changer, industrial high-speed drive, and gear manufacturing","Speed changer, industrial high-speed drive, and gear manufacturing (333612)"
333613,mch_mch,mch,goods,Mechanical power transmission equipment manufacturing,Mechanical power transmission equipment manufacturing (333613)
333618,oee_mch,mch,goods,Other engine equipment manufacturing,Other engine equipment manufacturing (333618)
333912,agc_mch,mch,goods,Air and gas compressor manufacturing,Air and gas compressor manufacturing (333912)
33391A,ppe_mch,mch,goods,Pump and pumping equipment manufacturing,Pump and pumping equipment manufacturing (33391A)
333920,mat_mch,mch,goods,Material handling equipment manufacturing,Material handling equipment manufacturing (333920)
333991,pwr_mch,mch,goods,Power-driven handtool manufacturing,Power-driven handtool manufacturing (333991)
333993,pkg_mch,mch,goods,Packaging machinery manufacturing,Packaging machinery manufacturing (333993)
